How It Can Help You,Policy Name,id
"If you live in a village and need work, this scheme guarantees you 100 days of paid work every year. The government will pay you for doing simple jobs like digging ponds, building roads, and planting trees. It helps you earn money to support your family.",Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),
"If you do not have a proper house, the government will help you build a strong (pucca) house with basic facilities like electricity, toilets, and gas connections. This scheme is for poor families living in villages.",Pradhan Mantri Awas Yojana – Gramin (PMAY-G),
"If your village does not have proper roads, this scheme will build strong roads to connect your village with nearby towns. This makes it easier for you to travel, sell your crops, and access hospitals and schools.",Pradhan Mantri Gram Sadak Yojana (PMGSY),
"If you are a young person from a poor family and want to learn new skills, this scheme gives free training in jobs like tailoring, carpentry, driving, and computer work. After training, you can get a good job and earn money.",Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),
"If you are a woman or belong to a poor family, this scheme helps you join a self-help group where you can learn to save money, start small businesses like poultry farming or tailoring, and get loans easily. It helps you become independent.",National Rural Livelihoods Mission (NRLM) – Aajeevika,
"If you are old, a widow, or a disabled person with no income, the government will give you a monthly pension to help with your daily expenses. This scheme provides financial support to those who cannot work.",National Social Assistance Programme (NSAP),
"If you do not have a bank account, this scheme helps you open one for free. You can save your money safely, get a debit card, and even get small loans from banks. It helps you manage money better.",Pradhan Mantri Jan Dhan Yojana (PMJDY),
"If you are a farmer and your crops get damaged due to rain, drought, or pests, this scheme gives you money to cover your losses. It ensures that you do not suffer financially if something happens to your crops.",Pradhan Mantri Fasal Bima Yojana (PMFBY),
"If you are a farmer, this scheme provides a free soil test to check what kind of fertilizers and nutrients your land needs. This helps you grow better crops and earn more money.",Soil Health Card Scheme,
"If you are a farmer and need money to buy seeds, fertilizers, or equipment, this scheme gives you a special credit card. You can take a loan from the bank at a low-interest rate and repay it after selling your crops.",Kisan Credit Card (KCC) Scheme,
"If you do farming but do not have enough water, this scheme helps you get irrigation facilities like wells, canals, and water pumps. It ensures that your crops get enough water to grow properly.",Pradhan Mantri Krishi Sinchai Yojana (PMKSY),
"If you are a farmer, this scheme provides good quality seeds and fertilizers at a lower price. It helps you grow more crops and earn a better income.",National Food Security Mission (NFSM),
"This scheme provides financial help to farmers for modern farming techniques, purchasing better tools, and improving agricultural practices. It helps increase your farming profits.",Rashtriya Krishi Vikas Yojana (RKVY),
"If you are a small farmer, the government will give you ₹6,000 every year to help with farming expenses like buying seeds, fertilizers, and tools. The money is directly sent to your bank account.",Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),
"If you are a fisherman, this scheme helps you with better fish farming, cold storage, and modern fishing tools. It increases your income and makes fishing more profitable.",Pradhan Mantri Matsya Sampada Yojana (PMMSY),
"If you rear cows, goats, or chickens, this scheme provides money and training to improve your business. It helps in getting better-quality animals and earning more from livestock farming.",National Livestock Mission (NLM),
"If you are a woman from a poor family, this scheme provides you with a free LPG gas connection. You no longer need to cook with firewood, which saves time and protects your health.",Pradhan Mantri Ujjwala Yojana (PMUY),
"If you want to learn how to use mobile banking and digital payments, this scheme teaches you how to do safe transactions using your phone. It helps you send and receive money easily without going to the bank.",Digital Finance for Rural India,
"If your village lacks basic facilities like roads, bridges, and water supply, this scheme provides money to build them. It helps improve the overall development of villages.",Rural Infrastructure Development Fund (RIDF),
"A financial inclusion scheme launched to provide universal access to banking services, including zero-balance accounts, overdraft facilities, and insurance cover. Aims to bring unbanked rural households into the formal banking system.",Pradhan Mantri Jan Dhan Yojana (PMJDY),
"A scheme that provides microfinance through MUDRA (Micro Units Development and Refinance Agency) banks, offering loans under Shishu, Kishor, and Tarun categories to promote small businesses, startups, and rural enterprises.",Pradhan Mantri Mudra Yojana (PMMY),
"A scheme offering low-interest credit to farmers for agricultural expenses, equipment purchase, and other farming needs. Provides flexible repayment terms based on the cropping cycle and reduces dependency on informal lenders.",Kisan Credit Card (KCC) Scheme,
"A government-backed crop insurance scheme that provides financial assistance to farmers in case of crop damage due to natural calamities, pests, and diseases. It ensures farmers' financial stability and encourages agricultural investment.",Pradhan Mantri Fasal Bima Yojana (PMFBY),
"A pension scheme designed for workers in the unorganized sector, including rural laborers. It offers a guaranteed minimum monthly pension upon retirement, based on the contribution made by the beneficiary.",Atal Pension Yojana (APY),
"A fund established under NABARD to finance rural infrastructure projects like irrigation, roads, bridges, warehousing, and electrification. It aims to enhance agricultural productivity and overall rural development.",Rural Infrastructure Development Fund (RIDF),
"A poverty alleviation program that promotes self-employment, skill development, and women empowerment in rural areas. It supports the formation of Self-Help Groups (SHGs) and provides financial assistance to rural entrepreneurs.",Deendayal Antyodaya Yojana – NRLM,
A scheme that facilitates loans for SC/ST and women entrepreneurs in rural areas to start new businesses. The loans range from ₹10 lakh to ₹1 crore and are aimed at promoting financial independence and economic growth.,Stand Up India Scheme,
"An online trading platform that integrates agricultural markets across India, allowing farmers to sell their produce at competitive prices. It reduces exploitation by middlemen and ensures fair pricing for agricultural goods.",National Agriculture Market (eNAM),
"A direct income support scheme providing ₹6,000 per year to small and marginal farmers. The amount is credited in three equal installments annually to help farmers manage agricultural expenses and improve their livelihood.",PM Kisan Samman Nidhi (PM-KISAN),
